"Source:","C:\Users\felip\OneDrive\Documents\KiCad\SafetyPCB\SafetyPCB.kicad_sch"
"Date:","11/5/2022 12:25:50 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","ARROW PART NUMBER","ARROW PRICE/STOCK","DATASHEET LINK","HEIGHT","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER PART NUMBER","MOUSER PRICE/STOCK","PUBLISHER"
"","","D1","~","Sheet1-altium-import:3_S1A","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_DIOM5227X270N","","S1A","https://www.arrow.com/en/products/s1a/on-semiconductor","http://www.onsemi.com/pub/Collateral/S1M-D.pdf","2.7mm","","","ON Semiconductor","S1A","512-S1A","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/S1A/?qs=RJwZ8kJo1mjAagviH5vK9g%3D%3D",""
"","","D2","~","Sheet1-altium-import:3_S1A","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_DIOM5227X270N","","S1A","https://www.arrow.com/en/products/s1a/on-semiconductor","http://www.onsemi.com/pub/Collateral/S1M-D.pdf","2.7mm","","","ON Semiconductor","S1A","512-S1A","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/S1A/?qs=RJwZ8kJo1mjAagviH5vK9g%3D%3D",""
"","","D3","~","Sheet1-altium-import:3_S1A","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_DIOM5227X270N","","S1A","https://www.arrow.com/en/products/s1a/on-semiconductor","http://www.onsemi.com/pub/Collateral/S1M-D.pdf","2.7mm","","","ON Semiconductor","S1A","512-S1A","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/S1A/?qs=RJwZ8kJo1mjAagviH5vK9g%3D%3D",""
"","","D4","~","Sheet1-altium-import:3_S1A","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_DIOM5227X270N","","S1A","https://www.arrow.com/en/products/s1a/on-semiconductor","http://www.onsemi.com/pub/Collateral/S1M-D.pdf","2.7mm","","","ON Semiconductor","S1A","512-S1A","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/S1A/?qs=RJwZ8kJo1mjAagviH5vK9g%3D%3D",""
"","","F1","~","Sheet1-altium-import:0_0678H9100-02","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_FUSC9830X318N","","","","https://www.mouser.com/datasheet/2/643/Bel Fuse_02202018_0678H-1288534.pdf","3.18mm","","","Bel","0678H9100-02","530-0678H9100-02","",""
"","","IC1","ATMEGA328P-AU","SafetyPCB-altium-import:0_ATMEGA328P-AU","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_QFP80P900X900X120-32N","","ATMEGA328P-AU","https://www.arrow.com/en/products/atmega328p-au/microchip-technology","https://componentsearchengine.com/Datasheets/2/ATMEGA328P-AU.pdf","1.2mm","","","Microchip","ATMEGA328P-AU","556-ATMEGA328P-AU","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/ATMEGA328P-AU?qs=K8BHR703ZXiCmmgp6%2FGNmQ%3D%3D",""
"","","IC2","FT232RL","SafetyPCB-altium-import:0_FT232RL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_SOP65P778X200-28N","","FT232RL","https://www.arrow.com/en/products/ft232rl/ftdi-chip","http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf","2mm","","","FTDI Chip","FT232RL","","",""
"","","J1","~","Sheet1-altium-import:2_171975-0002","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_1719750002","","","","https://www.molex.com/pdm_docs/sd/1719750002_sd.pdf","7.38mm","","","Molex","171975-0002","538-171975-0002","https://www.mouser.co.uk/ProductDetail/Molex/171975-0002?qs=lc2O%252BfHJPVZp75AIAAjPAw%3D%3D",""
"","","J2","~","Sheet1-altium-import:2_171975-0002","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_1719750002","","","","https://www.molex.com/pdm_docs/sd/1719750002_sd.pdf","7.38mm","","","Molex","171975-0002","538-171975-0002","https://www.mouser.co.uk/ProductDetail/Molex/171975-0002?qs=lc2O%252BfHJPVZp75AIAAjPAw%3D%3D",""
"","","J3","~","Sheet1-altium-import:1_0430450200","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_43045-0200","","0430450200","https://www.arrow.com/en/products/0430450200/molex","http://www.molex.com/webdocs/datasheets/pdf/en-us//0430450200_PCB_HEADERS.pdf","","","","Molex","0430450200","N/A","https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA",""
